,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.003640145605824233,0.0031201248049922,0.0013000520020800832,9,5,0.6428571428571428
bug_message_keyword_broken,1,[1],0.004420176807072283,0.0033801352054082163,0.0020800832033281333,12,5,0.7058823529411764
bug_message_keyword_bug,2,[1],0.1372854914196568,0.13494539781591264,0.07098283931357255,279,249,0.5284090909090909
bug_message_keyword_close,3,[1],0.018200728029121163,0.012220488819552781,0.005980239209568383,46,24,0.6571428571428571
bug_message_keyword_concurr,4,[1],0.008060322412896516,0.0075403016120644826,0.005720228809152366,20,11,0.6451612903225806
bug_message_keyword_correct,5,[1],0.017420696827873113,0.015600624024960999,0.009100364014560582,43,24,0.6417910447761194
bug_message_keyword_corrupt,6,[1],0.004420176807072283,0.003640145605824233,0.0018200728029121164,13,4,0.7647058823529411
bug_message_keyword_crash,7,[1],0.0010400416016640667,0.00078003120124805,0.0005200208008320333,4,0,1.0
bug_message_keyword_deadlock,8,[1],0.004940197607904316,0.004160166406656267,0.002860114404576183,19,0,1.0
bug_message_keyword_defect,9,[1],0.00026001040041601667,0.00026001040041601667,0.0,1,0,1.0
bug_message_keyword_disabl,10,[1],0.00546021840873635,0.004420176807072283,0.0039001560062402497,8,13,0.38095238095238093
bug_message_keyword_endless,11,[1],0.0005200208008320333,0.0005200208008320333,0.00026001040041601667,2,0,1.0
bug_message_keyword_ensur,12,[1],0.003640145605824233,0.0033801352054082163,0.0015600624024961,9,5,0.6428571428571428
bug_message_keyword_error,13,[1],0.018200728029121163,0.01638065522620905,0.011440457618304731,30,40,0.4285714285714286
bug_message_keyword_except,14,[1],0.03016120644825793,0.026781071242849713,0.014560582423296931,60,56,0.5172413793103449
bug_message_keyword_fail,15,[1],0.0436817472698908,0.029121164846593862,0.02002080083203328,92,76,0.5476190476190477
bug_message_keyword_bugfix,16,[1],0.2233489339573583,0.18486739469578783,0.0998439937597504,494,365,0.5750873108265425
bug_message_keyword_garbag,17,[1],0.0033801352054082163,0.002860114404576183,0.0013000520020800832,8,5,0.6153846153846154
bug_message_keyword_handl,18,[1],0.02080083203328133,0.017420696827873113,0.010660426417056681,40,40,0.5
bug_message_keyword_incomplet,19,[1],0.0015600624024961,0.0015600624024961,0.00078003120124805,4,2,0.6666666666666666
bug_message_keyword_inconsist,20,[1],0.004940197607904316,0.0039001560062402497,0.0026001040041601664,14,5,0.7368421052631579
bug_message_keyword_incorrect,21,[1],0.008320332813312533,0.005720228809152366,0.002860114404576183,19,13,0.59375
bug_message_keyword_infinit,22,[1],0.0020800832033281333,0.0018200728029121164,0.00078003120124805,6,2,0.75
bug_message_keyword_invalid,23,[1],0.005720228809152366,0.0046801872074883,0.0020800832033281333,17,5,0.7727272727272727
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.004160166406656267,0.0031201248049922,0.0015600624024961,11,5,0.6875
bug_message_keyword_loop,26,[1],0.004420176807072283,0.0039001560062402497,0.0015600624024961,11,6,0.6470588235294118
bug_message_keyword_minor,27,[1],0.007280291211648466,0.007280291211648466,0.007280291211648466,9,19,0.3214285714285714
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[1],0.012220488819552781,0.01014040561622465,0.0026001040041601664,43,4,0.9148936170212766
bug_message_keyword_not|work,30,[1],0.005980239209568383,0.004420176807072283,0.0031201248049922,18,5,0.7826086956521738
bug_message_keyword_not|return,31,[1],0.0020800832033281333,0.0013000520020800832,0.00026001040041601667,7,1,0.875
bug_message_keyword_of|bound,32,[1],0.00026001040041601667,0.00026001040041601667,0.0,1,0,1.0
bug_message_keyword_patch,33,[1],0.07150286011440457,0.060842433697347896,0.0452418096723869,90,185,0.32727272727272727
bug_message_keyword_prevent,34,[1],0.008320332813312533,0.0062402496099844,0.0020800832033281333,19,13,0.59375
bug_message_keyword_problem,35,[1],0.0124804992199688,0.010400416016640665,0.00546021840873635,29,19,0.6041666666666666
bug_message_keyword_properli,36,[1],0.00858034321372855,0.006500260010400416,0.004160166406656267,22,11,0.6666666666666666
