,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2773963786149489,0.23667725049343516,0.09568351497468464,4499,1966,0.6959010054137664
fine_grained_changes_transformer_80,1,"[0, 1]",0.1371749764009268,0.11636488457907834,0.06079979404445207,1855,1342,0.5802314670003128
fine_grained_changes_transformer_70,2,"[0, 1]",0.11610744014416888,0.09834377413541577,0.05470694241826139,1502,1204,0.5550628233555063
all_files_test_add,3,[0],0.010169055178923882,0.010126147773105639,0.0032609628421865614,181,56,0.7637130801687764
all_files_test_fix,4,[0],0.005706684973826482,0.00557796275637175,0.0024886295374581652,90,43,0.6766917293233082
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[0],0.009697073714923196,0.008796018192740066,0.0027031665665493863,205,21,0.9070796460176991
bugless_if_at_least_5_added_files,7,[0],0.012571869904745559,0.012099888440744873,0.001887925856002746,279,14,0.9522184300341296
bugless_if_many_files_changes,8,[0],0.003218055436368317,0.003218055436368317,0.000557796275637175,72,3,0.96
bugless_if_not_code_files,9,[0],0.23221488028833775,0.21638204754140564,0.08405560799794044,4292,1120,0.7930524759793052
no_files_have_modified_status,10,[0],0.0754741268342916,0.06925255299064619,0.015189221659658457,1661,98,0.9442865264354747
refactoring_if_at_least_2_renamed,11,[0],0.00527761091564404,0.004548185016733888,0.0010297777396378615,114,9,0.9268292682926829
bug_message_keyword_bad,12,[1],0.002059555479275723,0.002059555479275723,0.0013730369861838154,47,1,0.9791666666666667
bug_message_keyword_broken,13,[1],0.005105981292371063,0.005020166480734575,0.003775851712005492,105,14,0.8823529411764706
bug_message_keyword_bug,14,[1],0.03351068394404874,0.032695443233502104,0.020466832575302497,751,30,0.9615877080665813
bug_message_keyword_close,15,[1],0.03930318372951171,0.03668583197459881,0.025315369432764096,767,149,0.8373362445414847
bug_message_keyword_concurr,16,[1],0.0006007036814554192,0.000557796275637175,0.0005148888698189308,5,9,0.35714285714285715
bug_message_keyword_correct,17,[1],0.016648073457478763,0.014888869818930747,0.010469407019651591,319,69,0.8221649484536082
bug_message_keyword_corrupt,18,[1],0.0006865184930919077,0.0006865184930919077,0.0005148888698189308,15,1,0.9375
bug_message_keyword_crash,19,[1],0.005063073886552819,0.005020166480734575,0.003132240624731829,113,5,0.9576271186440678
bug_message_keyword_deadlock,20,[1],0.00034325924654595385,0.00034325924654595385,0.0003003518407277096,5,3,0.625
bug_message_keyword_defect,21,[1],0.0003003518407277096,0.0002574444349094654,0.0001287222174547327,7,0,1.0
bug_message_keyword_disabl,22,[1],0.00943962928001373,0.008452758946194114,0.006479018278554878,150,70,0.6818181818181819
bug_message_keyword_endless,23,[1],0.0002574444349094654,0.00021453702909122115,0.00017162962327297692,5,1,0.8333333333333333
bug_message_keyword_ensur,24,[1],0.0068222775251008325,0.006436110872736634,0.004934351669098086,123,36,0.7735849056603774
bug_message_keyword_error,25,[1],0.02840470265167768,0.027417832317858062,0.0174633141680254,621,41,0.9380664652567976
bug_message_keyword_except,26,[1],0.006007036814554192,0.005706684973826482,0.003175148030550073,124,16,0.8857142857142857
bug_message_keyword_fail,27,[1],0.01776366600875311,0.017334591950570667,0.013687462456019909,281,133,0.678743961352657
bug_message_keyword_bugfix,28,[1],0.28855230412769245,0.24131125032180553,0.15884321633914014,5894,831,0.8764312267657992
bug_message_keyword_garbag,29,[1],0.00017162962327297692,0.00017162962327297692,0.0001287222174547327,2,2,0.5
bug_message_keyword_handl,30,[1],0.012400240281472583,0.011627906976744186,0.00720844417746503,243,46,0.8408304498269896
bug_message_keyword_incomplet,31,[1],0.0005148888698189308,0.0005148888698189308,0.0004719814640006865,7,5,0.5833333333333334
bug_message_keyword_inconsist,32,[1],0.000557796275637175,0.0005148888698189308,0.00034325924654595385,12,1,0.9230769230769231
bug_message_keyword_incorrect,33,[1],0.003389685059641294,0.0033038702480048055,0.002059555479275723,77,2,0.9746835443037974
bug_message_keyword_infinit,34,[1],0.0009868703338196173,0.000943962928001373,0.0005148888698189308,22,1,0.9565217391304348
bug_message_keyword_invalid,35,[1],0.004333647987642667,0.004076203552733202,0.0028318887840041193,92,9,0.9108910891089108
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.0017162962327297692,0.001673388826911525,0.0006436110872736634,38,2,0.95
bug_message_keyword_loop,38,[1],0.002445722131639921,0.0023599073200034327,0.0018450184501845018,39,18,0.6842105263157895
bug_message_keyword_minor,39,[1],0.006865184930919077,0.006092851626190681,0.0044623702050974,93,67,0.58125
bug_message_keyword_mistak,40,[1],0.0012014073629108384,0.00111559255127435,0.0010726851454561058,16,12,0.5714285714285714
bug_message_keyword_npe,41,[1],0.0028747961898223633,0.0027460739723676308,0.00111559255127435,67,0,1.0
bug_message_keyword_not|work,42,[1],0.0023599073200034327,0.002274092508366944,0.0015446666094567922,52,3,0.9454545454545454
bug_message_keyword_not|return,43,[1],0.0002574444349094654,0.00021453702909122115,8.581481163648846e-05,6,0,1.0
bug_message_keyword_of|bound,44,[1],0.0001287222174547327,0.0001287222174547327,4.290740581824423e-05,3,0,1.0
bug_message_keyword_patch,45,[1],0.013215480992019222,0.012571869904745559,0.010469407019651591,174,134,0.564935064935065
bug_message_keyword_prevent,46,[1],0.006307388655281901,0.005749592379644727,0.003003518407277096,125,22,0.8503401360544218
bug_message_keyword_problem,47,[1],0.0071655367716467865,0.0069080923367373205,0.004848536857461598,148,19,0.8862275449101796
bug_message_keyword_properli,48,[1],0.004333647987642667,0.004162018364369691,0.0026602591607311423,93,8,0.9207920792079207
bug_message_keyword_race|condit,49,[1],0.0003003518407277096,0.0003003518407277096,0.00017162962327297692,7,0,1.0
bug_message_keyword_repair,50,[1],0.0003003518407277096,0.0003003518407277096,0.0001287222174547327,7,0,1.0
bug_message_keyword_resolv,51,[1],0.009825795932377928,0.008581481163648846,0.0054921479447352615,182,47,0.794759825327511
bug_message_keyword_threw,52,[1],0.0021882776967304556,0.0021453702909122116,0.0012872221745473269,46,5,0.9019607843137255
bug_message_keyword_timeout,53,[1],0.002617351754912898,0.0024028147258216767,0.0015446666094567922,41,20,0.6721311475409836
bug_message_keyword_unabl,54,[1],0.0006007036814554192,0.0005148888698189308,0.00034325924654595385,12,2,0.8571428571428572
bug_message_keyword_unclos,55,[1],0.0001287222174547327,0.0001287222174547327,8.581481163648846e-05,3,0,1.0
bug_message_keyword_unexpect,56,[1],0.0004719814640006865,0.0004719814640006865,0.00021453702909122115,9,2,0.8181818181818181
bug_message_keyword_unknown,57,[1],0.00111559255127435,0.00111559255127435,0.0007294258989101518,18,8,0.6923076923076923
bug_message_keyword_unsynchron,58,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,59,[1],0.004719814640006865,0.0044623702050974,0.0025744443490946537,100,10,0.9090909090909092
bugless_message_keyword_abil,60,[0],0.0019308332618209903,0.001887925856002746,0.0009868703338196173,40,5,0.8888888888888888
bugless_message_keyword_ad,61,[0],0.06684973826482452,0.059426757058268255,0.025615721273491803,1336,222,0.8575096277278562
bugless_message_keyword_add,62,[0],0.09765725564232386,0.0866300523470351,0.03668583197459881,1993,283,0.875659050966608
bugless_message_keyword_addit,63,[0],0.0034325924654595385,0.0032609628421865614,0.002059555479275723,65,15,0.8125
bugless_message_keyword_allow,64,[0],0.013687462456019909,0.012443147687290827,0.008796018192740066,235,84,0.7366771159874608
bugless_message_keyword_analysi,65,[0],0.0008581481163648846,0.0008581481163648846,0.0006436110872736634,11,9,0.55
bugless_message_keyword_avoid,66,[0],0.0069939071483738095,0.006350296061100146,0.00527761091564404,88,75,0.5398773006134969
bugless_message_keyword_baselin,67,[0],8.581481163648846e-05,8.581481163648846e-05,8.581481163648846e-05,1,1,0.5
bugless_message_keyword_beautification,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,69,[0],0.0009010555221831288,0.0007723333047283961,0.00038616665236419805,18,3,0.8571428571428572
bugless_message_keyword_better,70,[0],0.006135759032008924,0.005706684973826482,0.004033296146914957,104,39,0.7272727272727273
bugless_message_keyword_bump,71,[0],0.016390629022569294,0.015489573500386166,0.004290740581824423,369,13,0.9659685863874345
bugless_message_keyword_chang|log,72,[0],0.00038616665236419805,0.00038616665236419805,8.581481163648846e-05,9,0,1.0
bugless_message_keyword_clean,73,[0],0.010340684802196859,0.008581481163648846,0.005191796104007552,199,42,0.8257261410788381
bugless_message_keyword_comment,74,[0],0.010340684802196859,0.009611258903286707,0.00527761091564404,201,40,0.8340248962655601
bugless_message_keyword_complet,75,[0],0.0038616665236419806,0.003604222088732515,0.0025744443490946537,66,24,0.7333333333333334
bugless_message_keyword_configur|chang,76,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,77,[0],0.00017162962327297692,0.00017162962327297692,4.290740581824423e-05,4,0,1.0
bugless_message_keyword_convert,78,[0],0.0030893332189135844,0.002960611001458852,0.0021453702909122116,46,26,0.6388888888888888
bugless_message_keyword_coverag,79,[0],0.001501759203638548,0.0013301295803655711,0.0006007036814554192,33,2,0.9428571428571428
bugless_message_keyword_create,80,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,81,[0],0.003775851712005492,0.0036471294945507595,0.0019308332618209903,82,6,0.9318181818181819
bugless_message_keyword_develop,82,[0],0.007852055264738695,0.006950999742555565,0.003003518407277096,160,23,0.8743169398907105
bugless_message_keyword_doc,83,[0],0.0286192396807689,0.02780399897022226,0.01591864755856861,495,172,0.7421289355322339
bugless_message_keyword_drop,84,[0],0.0036900369003690036,0.003389685059641294,0.0021882776967304556,69,17,0.8023255813953488
bugless_message_keyword_enhanc,85,[0],0.0017162962327297692,0.0016304814210932807,0.00111559255127435,34,6,0.85
bugless_message_keyword_exampl,86,[0],0.0089247404101948,0.008495666352012357,0.004676907234188621,174,34,0.8365384615384616
bugless_message_keyword_exclud,87,[0],0.002059555479275723,0.0019737406676392346,0.001158499957092594,41,7,0.8541666666666667
bugless_message_keyword_expand,88,[0],0.0012014073629108384,0.0012014073629108384,0.0008152407105466404,17,11,0.6071428571428571
bugless_message_keyword_extendgener,89,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,90,[0],0.010598129237106324,0.009911610744014417,0.005964129408735948,170,77,0.688259109311741
bugless_message_keyword_forget,91,[0],0.0004719814640006865,0.00038616665236419805,0.0003003518407277096,6,5,0.5454545454545454
bugless_message_keyword_format,92,[0],0.006436110872736634,0.006049944220372436,0.004290740581824423,102,48,0.6799999999999999
bugless_message_keyword_gitignor,93,[0],0.003003518407277096,0.0028747961898223633,0.0006007036814554192,70,0,1.0
bugless_message_keyword_idea,94,[0],0.0006436110872736634,0.0006436110872736634,0.0003003518407277096,11,4,0.7333333333333334
bugless_message_keyword_implement,95,[0],0.00862438856946709,0.007680425641465717,0.003990388741096714,169,32,0.8407960199004976
bugless_message_keyword_improv,96,[0],0.008452758946194114,0.007594610829829229,0.004633999828370376,166,31,0.8426395939086294
bugless_message_keyword_includ,97,[0],0.010126147773105639,0.009568351497468463,0.006007036814554192,190,46,0.8050847457627119
bugless_message_keyword_info,98,[0],0.00527761091564404,0.005020166480734575,0.0026602591607311423,114,9,0.9268292682926829
bugless_message_keyword_intorduc,99,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,100,[0],0.0032609628421865614,0.002788981378185875,0.001887925856002746,50,26,0.6578947368421053
bugless_message_keyword_log,101,[0],0.015146314253840212,0.013987814296747619,0.009825795932377928,259,94,0.7337110481586402
bugless_message_keyword_migrat,102,[0],0.003561314682914271,0.003389685059641294,0.0023599073200034327,61,22,0.7349397590361446
bugless_message_keyword_minim,103,[0],0.0004719814640006865,0.00034325924654595385,0.00017162962327297692,11,0,1.0
bugless_message_keyword_modif,104,[0],0.0008581481163648846,0.0007294258989101518,0.0004719814640006865,15,5,0.75
bugless_message_keyword_move,105,[0],0.014073629108384108,0.011928258817471896,0.006178666437827169,272,56,0.8292682926829269
bugless_message_keyword_new,106,[0],0.026001887925856004,0.024543036128035697,0.011885351411653651,548,58,0.9042904290429044
bugless_message_keyword_note,107,[0],0.007294258989101519,0.007036814554192054,0.0033038702480048055,146,24,0.8588235294117648
bugless_message_keyword_opinion,108,[0],4.290740581824423e-05,4.290740581824423e-05,4.290740581824423e-05,1,0,1.0
bugless_message_keyword_optim,109,[0],0.0023599073200034327,0.0019737406676392346,0.0012443147687290826,45,10,0.8181818181818181
bugless_message_keyword_pass|test,110,[0],8.581481163648846e-05,8.581481163648846e-05,4.290740581824423e-05,2,0,1.0
bugless_message_keyword_perf|test,111,[0],4.290740581824423e-05,4.290740581824423e-05,4.290740581824423e-05,1,0,1.0
bugless_message_keyword_perfom|test,112,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,113,[0],0.002445722131639921,0.002316999914185188,0.0017592036385480135,44,13,0.7719298245614035
bugless_message_keyword_plugin,114,[0],0.009654166309104952,0.00922509225092251,0.003218055436368317,196,29,0.8711111111111112
bugless_message_keyword_polish,115,[0],0.0002574444349094654,0.00021453702909122115,0.0,6,0,1.0
bugless_message_keyword_possibl,116,[0],0.0038616665236419806,0.0036900369003690036,0.003175148030550073,53,37,0.5888888888888889
bugless_message_keyword_prepar,117,[0],0.005363425727280529,0.004934351669098086,0.0007294258989101518,123,2,0.984
bugless_message_keyword_propos,118,[0],0.0006007036814554192,0.0006007036814554192,0.00038616665236419805,11,3,0.7857142857142857
bugless_message_keyword_provid,119,[0],0.005749592379644727,0.005363425727280529,0.0034325924654595385,101,33,0.7537313432835822
bugless_message_keyword_publish,120,[0],0.003218055436368317,0.002316999914185188,0.0012872221745473269,61,14,0.8133333333333334
bugless_message_keyword_readm,121,[0],0.021968591778941046,0.021839869561486314,0.0051488886981893075,507,5,0.990234375
bugless_message_keyword_reduc,122,[0],0.0021882776967304556,0.002059555479275723,0.0013730369861838154,37,14,0.7254901960784313
bugless_message_keyword_refactor,123,[0],0.007894962670556938,0.00639320346691839,0.003389685059641294,165,19,0.8967391304347826
bugless_message_keyword_refin,124,[0],0.0006865184930919077,0.0006865184930919077,0.00038616665236419805,10,6,0.625
bugless_message_keyword_reformat,125,[0],0.00021453702909122115,0.00021453702909122115,0.0001287222174547327,5,0,1.0
bugless_message_keyword_regress|test,126,[0],0.0005148888698189308,0.0005148888698189308,0.0002574444349094654,10,2,0.8333333333333333
bugless_message_keyword_reimplement,127,[0],0.00017162962327297692,0.0001287222174547327,8.581481163648846e-05,2,2,0.5
bugless_message_keyword_release,128,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,129,[0],0.05702394233244658,0.04698360937097743,0.027632369346949282,1049,280,0.7893152746425884
bugless_message_keyword_renam,130,[0],0.008281129322921136,0.007122629365828542,0.003732944306187248,184,9,0.9533678756476685
bugless_message_keyword_reorgan,131,[0],0.00021453702909122115,0.00021453702909122115,0.0001287222174547327,5,0,1.0
bugless_message_keyword_replac,132,[0],0.006307388655281901,0.0053205183214622845,0.003604222088732515,115,32,0.782312925170068
bugless_message_keyword_restrict,133,[0],0.0014159443920020596,0.0013301295803655711,0.0009868703338196173,23,10,0.696969696969697
bugless_message_keyword_restructur,134,[0],0.0003003518407277096,0.0002574444349094654,8.581481163648846e-05,7,0,1.0
bugless_message_keyword_review,135,[0],0.012056981034926629,0.011842444005835407,0.008495666352012357,185,96,0.6583629893238434
bugless_message_keyword_rewrit,136,[0],0.000943962928001373,0.0009010555221831288,0.0006007036814554192,18,4,0.8181818181818181
bugless_message_keyword_rid,137,[0],0.001158499957092594,0.0010726851454561058,0.0006007036814554192,23,4,0.8518518518518519
bugless_message_keyword_set|up,138,[0],0.0010726851454561058,0.000943962928001373,0.000557796275637175,18,7,0.72
bugless_message_keyword_simplif,139,[0],0.0001287222174547327,8.581481163648846e-05,4.290740581824423e-05,3,0,1.0
bugless_message_keyword_simplifi,140,[0],0.0022311851025487,0.001887925856002746,0.0009868703338196173,48,4,0.9230769230769231
bugless_message_keyword_speedup,141,[0],0.0004290740581824423,0.0004290740581824423,0.0003003518407277096,7,3,0.7
bugless_message_keyword_stage,142,[0],0.001501759203638548,0.0014159443920020596,0.0009868703338196173,24,11,0.6857142857142857
bugless_message_keyword_stat,143,[0],0.0021882776967304556,0.0020166480734574786,0.0010297777396378615,36,15,0.7058823529411764
bugless_message_keyword_statist,144,[0],0.00038616665236419805,0.00038616665236419805,0.0002574444349094654,6,3,0.6666666666666666
bugless_message_keyword_support,145,[0],0.019737406676392344,0.01845018450184502,0.010383592208015104,392,68,0.8521739130434782
bugless_message_keyword_switch,146,[0],0.0049772590749163305,0.004548185016733888,0.003218055436368317,80,36,0.6896551724137931
bugless_message_keyword_test,147,[0],0.06114305329099803,0.05813953488372093,0.03063588775422638,1060,365,0.743859649122807
bugless_message_keyword_test|coverag,148,[0],0.00021453702909122115,0.00021453702909122115,0.0001287222174547327,5,0,1.0
bugless_message_keyword_test|pass,149,[0],0.00038616665236419805,0.00038616665236419805,0.0003003518407277096,8,1,0.8888888888888888
bugless_message_keyword_todo,150,[0],0.002274092508366944,0.002274092508366944,0.0008581481163648846,51,2,0.9622641509433962
bugless_message_keyword_tweak,151,[0],0.0032609628421865614,0.0026602591607311423,0.0013301295803655711,70,6,0.9210526315789473
bugless_message_keyword_unit,152,[0],0.004676907234188621,0.004505277610915644,0.0028318887840041193,88,21,0.8073394495412844
bugless_message_keyword_unnecessari,153,[0],0.0032609628421865614,0.003218055436368317,0.001887925856002746,70,6,0.9210526315789473
bugless_message_keyword_updat,154,[0],0.11559255127434995,0.10066077404960096,0.030206813696043937,2573,121,0.9550853749072012
bugless_message_keyword_upgrad,155,[0],0.0044623702050974,0.003947481335278469,0.0017162962327297692,91,13,0.875
bugless_message_keyword_version,156,[0],0.03814468377241912,0.036256757916416374,0.01197116622329014,852,37,0.9583802024746907
