,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2792811770806326,0.26706313196785064,0.13882227119522944,24360,10110,0.7067014795474326
fine_grained_changes_transformer_80,1,"[0, 1]",0.1386764324604615,0.13147361939331087,0.08928571428571429,9943,7173,0.5809184388875905
fine_grained_changes_transformer_70,2,"[0, 1]",0.11478318641431164,0.1084797122115634,0.07274112004148302,7924,6243,0.5593280158113927
all_files_test_add,3,[0],0.010070974850920405,0.010046668395125745,0.0027223230490018148,994,249,0.7996781979082864
all_files_test_fix,4,[0],0.004845086855068706,0.0048369847031371534,0.0021146616541353382,393,205,0.657190635451505
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,6,[0],0.6347630930775214,0.5965290381125227,0.3287286103189007,52639,25706,0.6718871657412726
bugless_if_at_least_2_removed_files,7,[0],0.00906630801140783,0.008434340160746694,0.002268602540834846,1023,96,0.9142091152815013
bugless_if_at_least_5_added_files,8,[0],0.013190303344568317,0.012501620430386311,0.001993129375162043,1557,71,0.9563882063882063
bugless_if_many_files_changes,9,[0],0.003791807103966814,0.0037756028001037075,0.0005185377236193933,440,28,0.9401709401709402
bugless_if_not_code_files,10,[0],0.23260467980295566,0.22891820067409904,0.08283640134819809,22825,5884,0.7950468494200424
no_files_have_modified_status,11,[0],0.0753500129634431,0.07357564169043299,0.014632486388384755,8810,490,0.9473118279569892
refactoring_if_at_least_2_renamed,12,[0],0.0057849364791288565,0.005233990147783251,0.0014745916515426498,636,78,0.8907563025210083
bug_message_keyword_bad,13,[1],0.002009333679025149,0.002009333679025149,0.0018391884884625357,234,14,0.9435483870967742
bug_message_keyword_broken,14,[1],0.0048288825512056,0.00474786103189007,0.004310344827586207,517,79,0.8674496644295302
bug_message_keyword_bug,15,[1],0.03276510241120042,0.0324410163339383,0.027563520871143377,3873,171,0.9577151335311573
bug_message_keyword_close,16,[1],0.039692442312678246,0.0384933238268084,0.0340614467202489,4155,744,0.8481322718922228
bug_message_keyword_concurr,17,[1],0.0005023334197562872,0.00048612911589318125,0.00045372050816696913,36,26,0.5806451612903226
bug_message_keyword_correct,18,[1],0.016779556650246306,0.01614758879958517,0.014640588540316309,1742,329,0.8411395461129889
bug_message_keyword_corrupt,19,[1],0.0005671506352087115,0.0005671506352087115,0.0005023334197562872,65,5,0.9285714285714286
bug_message_keyword_crash,20,[1],0.005315011667098781,0.00528260305937257,0.0045210007778065855,640,16,0.975609756097561
bug_message_keyword_deadlock,21,[1],0.0003159839253305678,0.0003078817733990148,0.00025926886180969663,31,8,0.7948717948717949
bug_message_keyword_defect,22,[1],0.0005428441794140524,0.00046992481203007516,0.0003645968369198859,64,3,0.9552238805970149
bug_message_keyword_disabl,23,[1],0.008993388644023853,0.008726017630282603,0.008134560539279233,752,358,0.6774774774774774
bug_message_keyword_endless,24,[1],0.00017014519056261342,0.00017014519056261342,0.0001620430386310604,15,6,0.7142857142857143
bug_message_keyword_ensur,25,[1],0.006554640912626393,0.006360189266269121,0.005849753694581281,652,157,0.8059332509270705
bug_message_keyword_error,26,[1],0.029418913663469017,0.028900375939849624,0.025424552761213377,3389,242,0.9333516937482786
bug_message_keyword_except,27,[1],0.0063682914182006745,0.00614143116411719,0.005420339642208971,706,80,0.8982188295165394
bug_message_keyword_fail,28,[1],0.01634204044594244,0.016131384495722063,0.015159126263935702,1371,646,0.6797223599405057
bug_message_keyword_bugfix,29,[1],0.29026769509981853,0.2686673580502982,0.2417925200933368,31423,4403,0.8771004298554123
bug_message_keyword_garbag,30,[1],0.00017014519056261342,0.00017014519056261342,0.0001620430386310604,12,9,0.5714285714285714
bug_message_keyword_handl,31,[1],0.012712276380606688,0.012388190303344569,0.010937905107596577,1324,245,0.8438495857233907
bug_message_keyword_incomplet,32,[1],0.0005509463313456054,0.0005347420274824994,0.0005104355716878402,49,19,0.7205882352941176
bug_message_keyword_inconsist,33,[1],0.0005914570910033705,0.0005833549390718175,0.0005185377236193933,68,5,0.9315068493150684
bug_message_keyword_incorrect,34,[1],0.0032975758361420793,0.003224656468758102,0.002770935960591133,393,14,0.9656019656019657
bug_message_keyword_infinit,35,[1],0.0007372958257713249,0.0007372958257713249,0.0005833549390718175,78,13,0.8571428571428572
bug_message_keyword_invalid,36,[1],0.0037431941923774955,0.0036702748249935182,0.0032813715322789734,430,32,0.9307359307359307
bug_message_keyword_issue,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,38,[1],0.0015151024112004148,0.0014826938034742027,0.0013125486129115893,184,3,0.9839572192513368
bug_message_keyword_loop,39,[1],0.0022523982369717396,0.0022199896292455275,0.0020012315270935962,189,89,0.6798561151079137
bug_message_keyword_minor,40,[1],0.007397264713507908,0.007073178636245787,0.006587049520352606,535,378,0.5859802847754655
bug_message_keyword_mistak,41,[1],0.0010694840549649988,0.0010694840549649988,0.0010451775991703396,68,64,0.5151515151515151
bug_message_keyword_npe,42,[1],0.0025683821623023076,0.0025359735545760955,0.002268602540834846,316,1,0.9968454258675079
bug_message_keyword_not|work,43,[1],0.0025197692507129893,0.002454952035260565,0.001968822919367384,303,8,0.9742765273311897
bug_message_keyword_not|return,44,[1],0.00033218822919367383,0.0003240860772621208,0.0002754731656728027,41,0,1.0
bug_message_keyword_of|bound,45,[1],0.00021065595022037853,0.00021065595022037853,0.00017824734249416644,26,0,1.0
bug_message_keyword_patch,46,[1],0.013093077521389681,0.012890523723100856,0.012331475239823697,910,706,0.5631188118811881
bug_message_keyword_prevent,47,[1],0.006497925849105523,0.006311576354679803,0.005679608504018667,656,146,0.8179551122194514
bug_message_keyword_problem,48,[1],0.007648431423386052,0.007575512056002074,0.006822011926367643,867,77,0.9184322033898304
bug_message_keyword_properli,49,[1],0.004342753435312419,0.004261731915996889,0.0037512963443090486,504,32,0.9402985074626866
bug_message_keyword_race|condit,50,[1],0.0005833549390718175,0.0005833549390718175,0.0005266398755509464,70,2,0.9722222222222222
bug_message_keyword_repair,51,[1],0.00029977962146746177,0.00029977962146746177,0.00029167746953590875,35,2,0.9459459459459459
