,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.003692188107267781,0.0025262339681305867,0.001554605518849592,17,2,0.8947368421052632
bug_message_keyword_broken,1,[1],0.004080839486980179,0.0027205596579867857,0.00194325689856199,17,4,0.8095238095238095
bug_message_keyword_bug,2,[1],0.026039642440730666,0.022541780023319084,0.013797123979790129,111,23,0.8283582089552239
bug_message_keyword_close,3,[1],0.012242518460940537,0.007384376214535562,0.003692188107267781,52,11,0.8253968253968254
bug_message_keyword_concurr,4,[1],0.0075787019043917605,0.007190050524679362,0.005246793626117373,28,11,0.717948717948718
bug_message_keyword_correct,5,[1],0.01729498639720171,0.013991449669646328,0.008161678973960357,69,20,0.7752808988764045
bug_message_keyword_corrupt,6,[1],0.004663816556548776,0.003497862417411582,0.00194325689856199,23,1,0.9583333333333333
bug_message_keyword_crash,7,[1],0.000777302759424796,0.000777302759424796,0.000582977069568597,3,1,0.75
bug_message_keyword_deadlock,8,[1],0.005441119315973571,0.004275165176836378,0.003109211037699184,28,0,1.0
bug_message_keyword_defect,9,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_disabl,10,[1],0.005441119315973571,0.004080839486980179,0.003692188107267781,15,13,0.5357142857142857
bug_message_keyword_endless,11,[1],0.000971628449280995,0.000971628449280995,0.000194325689856199,5,0,1.0
bug_message_keyword_ensur,12,[1],0.0029148853478429848,0.001748931208705791,0.001165954139137194,12,3,0.8
bug_message_keyword_error,13,[1],0.016517683637776913,0.013602798289933929,0.009910610182666148,58,27,0.6823529411764706
bug_message_keyword_except,14,[1],0.06723668869024485,0.049358725223474544,0.02506801399144967,279,67,0.8063583815028902
bug_message_keyword_fail,15,[1],0.04275165176836378,0.028177225029148854,0.0194325689856199,190,30,0.8636363636363636
bug_message_keyword_bugfix,16,[1],0.11465215701515741,0.08317139525845317,0.052273610571317526,481,109,0.8152542372881356
bug_message_keyword_garbag,17,[1],0.003303536727555383,0.0027205596579867857,0.001554605518849592,13,4,0.7647058823529411
bug_message_keyword_handl,18,[1],0.020792848814613293,0.01748931208705791,0.010687912942090944,68,39,0.6355140186915887
bug_message_keyword_incomplet,19,[1],0.001165954139137194,0.001165954139137194,0.000777302759424796,4,2,0.6666666666666666
bug_message_keyword_inconsist,20,[1],0.004275165176836378,0.003109211037699184,0.001748931208705791,18,4,0.8181818181818181
bug_message_keyword_incorrect,21,[1],0.008938981733385153,0.004469490866692577,0.0025262339681305867,42,4,0.9130434782608696
bug_message_keyword_infinit,22,[1],0.0025262339681305867,0.002331908278274388,0.000582977069568597,12,1,0.9230769230769231
bug_message_keyword_invalid,23,[1],0.006218422075398368,0.004469490866692577,0.0027205596579867857,28,4,0.875
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.00388651379712398,0.002331908278274388,0.001165954139137194,20,0,1.0
bug_message_keyword_loop,26,[1],0.006218422075398368,0.005246793626117373,0.00194325689856199,27,5,0.84375
bug_message_keyword_minor,27,[1],0.006995724834823164,0.006995724834823164,0.006801399144966964,18,18,0.5
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[1],0.012825495530509134,0.010104935872522347,0.003497862417411582,61,5,0.9242424242424243
bug_message_keyword_not|work,30,[1],0.005635445005829771,0.003303536727555383,0.002331908278274388,24,5,0.8275862068965517
bug_message_keyword_not|return,31,[1],0.00194325689856199,0.000971628449280995,0.000582977069568597,10,0,1.0
bug_message_keyword_of|bound,32,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_patch,33,[1],0.055188495919160516,0.04041974349008939,0.033035367275553826,154,130,0.5422535211267605
bug_message_keyword_prevent,34,[1],0.009327633113097552,0.007190050524679362,0.0025262339681305867,39,9,0.8125
bug_message_keyword_problem,35,[1],0.011853867081228138,0.010104935872522347,0.006218422075398368,57,4,0.9344262295081966
bug_message_keyword_properli,36,[1],0.008356004663816556,0.006218422075398368,0.004080839486980179,36,7,0.8372093023255813
bug_message_keyword_race|condit,37,[1],0.000971628449280995,0.000777302759424796,0.000388651379712398,4,1,0.8
bug_message_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,39,[1],0.006801399144966964,0.005052467936261173,0.00388651379712398,17,18,0.4857142857142857
bug_message_keyword_threw,40,[1],0.024679362611737272,0.023319082782743878,0.00777302759424796,106,21,0.8346456692913387
bug_message_keyword_timeout,41,[1],0.0029148853478429848,0.0027205596579867857,0.001554605518849592,10,5,0.6666666666666666
bug_message_keyword_unabl,42,[1],0.000971628449280995,0.000194325689856199,0.000194325689856199,5,0,1.0
bug_message_keyword_unclos,43,[1],0.000971628449280995,0.000582977069568597,0.000388651379712398,4,1,0.8
