,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.23414955571274915,0.2006366340759116,0.08047074099555228
fine_grained_changes_transformer_80,1,"[0, 1]",0.22643630267735151,0.15397436021666877,0.05999089138460644
fine_grained_changes_transformer_70,2,"[0, 1]",0.09541274624754116,0.08162385294431147,0.04366805879901937
all_files_test_add,3,[0],0.0012015620306398318,0.0012015620306398318,0.00012112520470159594
all_files_test_fix,4,[0],4.845008188063838e-06,4.845008188063838e-06,0.0
buggless_if_many_lines_changed,5,[0],0.04496652099342048,0.042277541449045046,0.015571856316437175
bugless_if_at_least_2_removed_files,6,[0],0.019462397891452436,0.01867266155679803,0.004907993294508668
bugless_if_at_least_5_added_files,7,[0],0.029380129652419113,0.02831422785104507,0.005751024719231775
bugless_if_many_files_changes,8,[0],0.046657428851054755,0.04556245700055233,0.012257870715801509
bugless_if_not_code_files,9,[0],0.17097549394858477,0.159531584608378,0.05883293442765918
no_files_have_modified_status,10,[0],0.04822721150398744,0.044826015755966626,0.009011715229798739
refactoring_if_at_least_2_renamed,11,[0],0.012606711305342105,0.012054380371902828,0.003100805240360856
bug_message_keyword_bad,12,[1],0.0020252134226106844,0.0019573833079777904,0.0015164875628639813
bug_message_keyword_broken,13,[1],0.004631827827789029,0.0045058576148993695,0.0036337561410478784
bug_message_keyword_bug,14,[1],0.03240341476177095,0.03163790346805686,0.022369402804290738
bug_message_keyword_close,15,[1],0.038382154865841726,0.0363763214759833,0.028120427523522513
bug_message_keyword_concurr,16,[1],0.0005474859252512137,0.0005281058924989583,0.00046512078605412844
bug_message_keyword_correct,17,[1],0.016589308035930582,0.01526177579240109,0.011952635199953487
bug_message_keyword_corrupt,18,[1],0.0005329509006870222,0.0005281058924989583,0.00036337561410478784
bug_message_keyword_crash,19,[1],0.0045058576148993695,0.004428337483890348,0.002863399839145728
bug_message_keyword_deadlock,20,[1],0.0003439955813525325,0.0003246155486002771,0.00027132045853157493
bug_message_keyword_defect,21,[1],0.0005426409170631499,0.00043120572873768157,0.00026163044215544724
bug_message_keyword_disabl,22,[1],0.00800395352668146,0.0073401874049167145,0.006114400333336563
bug_message_keyword_endless,23,[1],0.00016957528658223433,0.00015504026201804282,0.00011628019651353211
bug_message_keyword_ensur,24,[1],0.006201610480721712,0.005896374964873691,0.0047771780734309445
bug_message_keyword_error,25,[1],0.027064215738524598,0.02595470886345798,0.018803476777875753
bug_message_keyword_except,26,[1],0.006206455488909776,0.005886684948497563,0.00429267725462456
bug_message_keyword_fail,27,[1],0.014462349441370556,0.01392455353249547,0.011720074806926424
bug_message_keyword_bugfix,28,[1],0.25669822381999824,0.2163926007034952,0.15877091832285198
bug_message_keyword_garbag,29,[1],0.0002180253684628727,0.0002180253684628727,0.00017442029477029815
bug_message_keyword_handl,30,[1],0.014704599850773747,0.01405052374538513,0.010930338472272018
bug_message_keyword_incomplet,31,[1],0.0006831461545170011,0.0006492310972005543,0.0006007810153199159
bug_message_keyword_inconsist,32,[1],0.0006637661217647457,0.0006201610480721713,0.00046512078605412844
bug_message_keyword_incorrect,33,[1],0.0029506099865308773,0.002810104749077026,0.0018798631769687691
bug_message_keyword_infinit,34,[1],0.0007412862527737672,0.0007364412445857034,0.0005329509006870222
bug_message_keyword_invalid,35,[1],0.003464180854465644,0.0033333656333879203,0.0025290942741693235
bug_message_keyword_issue,36,[],0.0,0.0,0.0
bug_message_keyword_leak,37,[1],0.0014777274973594705,0.0014244324072907684,0.0008866364984156823
bug_message_keyword_loop,38,[1],0.0025533193151096424,0.0024903342086648127,0.0020106783980464926
bug_message_keyword_minor,39,[1],0.007485537650558629,0.0069816567989999904,0.0059012199730617545
bug_message_keyword_mistak,40,[1],0.001104661866878555,0.0010852818341262997,0.0009593116212366398
bug_message_keyword_npe,41,[1],0.001996143373482301,0.0018992432097210245,0.0010562117849979165
bug_message_keyword_not|work,42,[1],0.0024031240612796636,0.0022626188238258124,0.001434122423666896
bug_message_keyword_not|return,43,[1],0.00031008052403608564,0.00030039050765995795,0.0001938003275225535
bug_message_keyword_of|bound,44,[1],0.000179265302958362,0.000179265302958362,0.00011143518832546826
bug_message_keyword_patch,45,[1],0.01200593029002219,0.011497204430275488,0.010009786916539889
bug_message_keyword_prevent,46,[1],0.0060368802023275416,0.005770404751984031,0.004331437320129071
bug_message_keyword_problem,47,[1],0.007567902789755714,0.007378947470421225,0.005707419645539201
bug_message_keyword_properli,48,[1],0.004786868089807072,0.004559152704968071,0.003493250903594027
bug_message_keyword_race|condit,49,[1],0.0006395410808244266,0.0006395410808244266,0.000508725859746703
bug_message_keyword_repair,50,[1],0.00025194042577931955,0.00024709541759125576,0.00018411031114642584
bug_message_keyword_resolv,51,[1],0.011119293791606508,0.010179362203122124,0.007970038469365013
bug_message_keyword_threw,52,[1],0.0027325846180680045,0.0027035145689396217,0.001971918332541982
bug_message_keyword_timeout,53,[1],0.0022238587583213016,0.0020639734881151947,0.0016327677593775134
bug_message_keyword_unabl,54,[1],0.0006783011463289373,0.0005814009825676605,0.0003779106386689794
bug_message_keyword_unclos,55,[1],4.360507369257454e-05,3.8760065504510705e-05,2.9070049128383027e-05
bug_message_keyword_unexpect,56,[1],0.0005862459907557244,0.0005862459907557244,0.0004360507369257454
bug_message_keyword_unknown,57,[1],0.001288772178024981,0.001254857120708534,0.0010416767604337252
bug_message_keyword_unsynchron,58,[],0.0,0.0,0.0
bug_message_keyword_wrong,59,[1],0.004859543212628029,0.0046415178441651566,0.0031783253713698776
bugless_message_keyword_abil,60,[0],0.002596924388802217,0.0024612641595364295,0.0012064070388278956
bugless_message_keyword_ad,61,[0],0.0679415498212192,0.061565519045727185,0.024258955997635636
bugless_message_keyword_add,62,[0],0.0951656508299499,0.08658514132888885,0.035542980067636315
bugless_message_keyword_addit,63,[0],0.004379887402009709,0.004220002131803602,0.002650219478870919
bugless_message_keyword_allow,64,[0],0.014588319654260216,0.013396447639996511,0.009074700336243567
bugless_message_keyword_analysi,65,[0],0.0010416767604337252,0.0009786916539888952,0.0006443860890124905
bugless_message_keyword_avoid,66,[0],0.0071366970610180335,0.0066667312667758405,0.005310128974117966
bugless_message_keyword_baselin,67,[0],0.0001938003275225535,0.000179265302958362,6.783011463289373e-05
bugless_message_keyword_beautification,68,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,69,[0],0.0008236513919708525,0.0007267512282095757,0.0003779106386689794
bugless_message_keyword_better,70,[0],0.00681692652060582,0.006424480857372649,0.004370197385633582
bugless_message_keyword_bump,71,[0],0.01262609133809436,0.012078605412843148,0.0032413104778147074
bugless_message_keyword_chang|log,72,[0],0.0004360507369257454,0.0004360507369257454,0.00015504026201804282
bugless_message_keyword_clean,73,[0],0.014622234711576662,0.012190040601168616,0.006545606062074245
bugless_message_keyword_comment,74,[0],0.01021327726043857,0.009544666130485761,0.005595984457213733
bugless_message_keyword_complet,75,[0],0.004631827827789029,0.004384732410197773,0.0026744445198112385
bugless_message_keyword_configur|chang,76,[0],5.3295090068702216e-05,5.3295090068702216e-05,3.3915057316446866e-05
bugless_message_keyword_consolid,77,[0],0.00041182569598542624,0.0003682206222928517,0.00017442029477029815
bugless_message_keyword_convert,78,[0],0.003851781509510751,0.0035465459936627293,0.002185098692816791
bugless_message_keyword_coverag,79,[0],0.002000988381670365,0.0019137782342852159,0.000988381670365023
bugless_message_keyword_create,80,[],0.0,0.0,0.0
bugless_message_keyword_deprec,81,[0],0.0037258112966210913,0.0035077859281582185,0.0020833535208674503
bugless_message_keyword_develop,82,[0],0.010722003120185274,0.009690016376127675,0.003376970707080495
bugless_message_keyword_doc,83,[0],0.027970232269692537,0.02720472097597845,0.014360604269421215
bugless_message_keyword_drop,84,[0],0.003372125698892431,0.0030668901830444096,0.0019040882179090883
bugless_message_keyword_enhanc,85,[0],0.0026211494297425364,0.002451574143160302,0.0013808273335981938
bugless_message_keyword_exampl,86,[0],0.008512679386428162,0.008284964001589163,0.004563997713156135
bugless_message_keyword_exclud,87,[0],0.0015019525382997897,0.00137598232541013,0.0009108615393560015
bugless_message_keyword_expand,88,[0],0.0017684279886433008,0.0016860628494462155,0.0012354770879562786
bugless_message_keyword_extendgener,89,[],0.0,0.0,0.0
bugless_message_keyword_featur,90,[0],0.013677458114904215,0.012824736673804979,0.006870221610674522
bugless_message_keyword_forget,91,[0],0.00036337561410478784,0.0003197705404122133,0.00021318036027480886
bugless_message_keyword_format,92,[0],0.008377019157162376,0.00783922324828729,0.005174468744852179
bugless_message_keyword_gitignor,93,[0],0.0023449839630228977,0.0022771538483900037,0.0006686111299528096
bugless_message_keyword_idea,94,[0],0.0010513667768098527,0.0010319867440575974,0.0005038808515586391
bugless_message_keyword_implement,95,[0],0.013556332910202619,0.012393530945067297,0.0063275806936113725
bugless_message_keyword_improv,96,[0],0.013532107869262299,0.012330545838622467,0.006860531594298395
bugless_message_keyword_includ,97,[0],0.01035378249789242,0.009728776441632187,0.006419635849184585
bugless_message_keyword_info,98,[0],0.005799474801112414,0.005586294440837605,0.003013595092975707
bugless_message_keyword_intorduc,99,[],0.0,0.0,0.0
bugless_message_keyword_limit,100,[0],0.003008750084787643,0.0028197947654531536,0.0019476932916016629
bugless_message_keyword_log,101,[0],0.012863496739309489,0.012059225380090893,0.00804271359218597
bugless_message_keyword_migrat,102,[0],0.004021356796092985,0.0036579811819881978,0.0020639734881151947
bugless_message_keyword_minim,103,[0],0.0007267512282095757,0.000687991162705065,0.0003779106386689794
bugless_message_keyword_modif,104,[0],0.0012403220961443426,0.0011143518832546827,0.0006346960726363628
bugless_message_keyword_move,105,[0],0.016846093469897964,0.014786964989970832,0.007553367765191523
bugless_message_keyword_new,106,[0],0.038949020823845194,0.03727749299896317,0.01450595451506313
bugless_message_keyword_note,107,[0],0.007127007044641905,0.007001036831752246,0.003406040756208878
bugless_message_keyword_opinion,108,[0],5.3295090068702216e-05,5.3295090068702216e-05,3.3915057316446866e-05
bugless_message_keyword_optim,109,[0],0.0034496458299014526,0.0030572001666682815,0.0017732729968313646
bugless_message_keyword_pass|test,110,[0],9.205515557321292e-05,9.205515557321292e-05,4.360507369257454e-05
bugless_message_keyword_perf|test,111,[0],5.8140098256766055e-05,5.8140098256766055e-05,3.3915057316446866e-05
bugless_message_keyword_perfom|test,112,[],0.0,0.0,0.0
bugless_message_keyword_perform,113,[0],0.0030378201339160264,0.0029166949292144303,0.0020494384635510034
bugless_message_keyword_plugin,114,[0],0.009118305409936142,0.008817914902276186,0.0036482911656120698
bugless_message_keyword_polish,115,[0],0.0004602757778660646,0.00043120572873768157,0.00019864533571061735
bugless_message_keyword_possibl,116,[0],0.004966133392765434,0.004786868089807072,0.0037451913293733465
bugless_message_keyword_prepar,117,[0],0.005208383802168625,0.004903148286320604,0.0013323772517175555
bugless_message_keyword_propos,118,[0],0.0007315962363976395,0.0007122162036453842,0.0004990358433705753
bugless_message_keyword_provid,119,[0],0.006356650742739755,0.005978740104070776,0.004011666779716858
bugless_message_keyword_publish,120,[0],0.004903148286320604,0.004229692148179731,0.0011724919815114488
bugless_message_keyword_readm,121,[0],0.018270525877188734,0.01820269576255584,0.0043072122791887515
bugless_message_keyword_reduc,122,[0],0.0023352939466467697,0.00214633862731228,0.0013953623581623852
bugless_message_keyword_refactor,123,[0],0.013754978245913235,0.011787904921559317,0.0060368802023275416
bugless_message_keyword_refin,124,[0],0.0007703563019021502,0.0007219062200215119,0.00046512078605412844
bugless_message_keyword_reformat,125,[0],0.0007558212773379588,0.0006589211135766819,0.0004215157123615539
bugless_message_keyword_regress|test,126,[0],0.0006201610480721713,0.0006201610480721713,0.0003972906714212347
bugless_message_keyword_reimplement,127,[0],0.0003197705404122133,0.00026163044215544724,0.00013566022926578747
bugless_message_keyword_release,128,[],0.0,0.0,0.0
bugless_message_keyword_remov,129,[0],0.05361486060911443,0.04635219333520674,0.02582873865056832
bugless_message_keyword_renam,130,[0],0.009980716867411506,0.008832449926840376,0.004016511787904921
bugless_message_keyword_reorgan,131,[0],0.0005232608843108945,0.0004699657942421923,0.0002034903438986812
bugless_message_keyword_replac,132,[0],0.008367329140786249,0.007606662855260226,0.004786868089807072
bugless_message_keyword_restrict,133,[0],0.0010901268423143635,0.001046521768621789,0.000775201310090214
bugless_message_keyword_restructur,134,[0],0.0007364412445857034,0.0006976811790811926,0.00043120572873768157
bugless_message_keyword_review,135,[0],0.013047607050455915,0.012703611469103383,0.008827604918652313
bugless_message_keyword_rewrit,136,[0],0.0015600926365565558,0.0014292774154788322,0.0008769464820395546
bugless_message_keyword_rid,137,[0],0.0013129972189653,0.0011482669405711297,0.0006153160398841074
bugless_message_keyword_set|up,138,[0],0.0009399315884843846,0.0008721014738514908,0.00048450081880638377
bugless_message_keyword_simplif,139,[0],0.0001889553193344897,0.00016473027839417049,0.00010659018013740443
bugless_message_keyword_simplifi,140,[0],0.003464180854465644,0.002989370052035388,0.00185563813602845
bugless_message_keyword_speedup,141,[0],0.0004941908351825115,0.00046512078605412844,0.0002955454994718941
bugless_message_keyword_stage,142,[0],0.0015455576119923643,0.0014825725055475343,0.000838186416535044
bugless_message_keyword_stat,143,[0],0.0018653281524045775,0.0017199779067626625,0.0007703563019021502
bugless_message_keyword_statist,144,[0],0.0005329509006870222,0.0004990358433705753,0.0003052355158480218
bugless_message_keyword_support,145,[0],0.024321941104080466,0.022689173344702954,0.011429374315642593
bugless_message_keyword_switch,146,[0],0.005576604424461477,0.005101793622031221,0.0032655355187550267
bugless_message_keyword_test,147,[0],0.061710869291369104,0.05847440382174246,0.030542931617554434
bugless_message_keyword_test|coverag,148,[0],0.0004941908351825115,0.0004941908351825115,0.00027132045853157493
bugless_message_keyword_test|pass,149,[0],0.00046512078605412844,0.00046512078605412844,0.00023740540121512806
bugless_message_keyword_todo,150,[0],0.002093043537243578,0.002034903438986812,0.0008721014738514908
bugless_message_keyword_tweak,151,[0],0.0032897605596953457,0.0028730898555218557,0.0014292774154788322
bugless_message_keyword_unit,152,[0],0.0059254450140020735,0.0057461797110437115,0.0035465459936627293
bugless_message_keyword_unnecessari,153,[0],0.0031831703795579414,0.0031492553222414944,0.0019912983652942374
bugless_message_keyword_updat,154,[0],0.12149827033207686,0.10868322367464801,0.030470256494733478
bugless_message_keyword_upgrad,155,[0],0.005973895095882712,0.005348889039622477,0.0025678543396738343
bugless_message_keyword_version,156,[0],0.03908952606129904,0.03768447368676053,0.01162801965135321
