,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.37823834196891193,0.35751295336787564,0.18652849740932642,44,29,0.6027397260273972
fine_grained_changes_transformer_80,1,"[0, 1]",0.12953367875647667,0.12435233160621761,0.06217616580310881,17,8,0.6799999999999999
fine_grained_changes_transformer_70,2,"[0, 1]",0.13471502590673576,0.12953367875647667,0.09326424870466321,15,11,0.5769230769230769
all_files_test_add,3,[0],0.02072538860103627,0.02072538860103627,0.0051813471502590676,4,0,1.0
all_files_test_fix,4,[0],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_5_added_files,7,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,8,[],0.0,0.0,0.0,0,0,0.0
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.010362694300518135,0.010362694300518135,0.0051813471502590676,2,0,1.0
refactoring_if_at_least_2_renamed,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_combined_bad,12,[1],0.11917098445595854,0.11917098445595854,0.05699481865284974,20,3,0.8695652173913043
bug_message_keyword_combined_broken,13,[1],0.05699481865284974,0.046632124352331605,0.025906735751295335,8,3,0.7272727272727273
bug_message_keyword_combined_disabl,14,[1],0.06217616580310881,0.05699481865284974,0.03626943005181347,7,5,0.5833333333333334
bug_message_keyword_combined_correct,15,[1],0.07253886010362694,0.07253886010362694,0.05699481865284974,9,5,0.6428571428571428
bug_message_keyword_combined_bug,16,[1],0.12953367875647667,0.12953367875647667,0.06217616580310881,20,5,0.8
bug_message_keyword_combined_close,17,[1],0.05699481865284974,0.05699481865284974,0.046632124352331605,6,5,0.5454545454545454
bug_message_keyword_combined_bugfix,18,[1],0.46113989637305697,0.42487046632124353,0.23834196891191708,75,14,0.8426966292134832
bugless_message_keyword_combined_abil,19,[0],0.10880829015544041,0.10880829015544041,0.09326424870466321,14,7,0.6666666666666666
bugless_message_keyword_combined_addit,20,[0],0.11398963730569948,0.10362694300518134,0.08290155440414508,10,12,0.45454545454545453
bugless_message_keyword_combined_bump,21,[0],0.15025906735751296,0.15025906735751296,0.11398963730569948,19,10,0.6551724137931034
bugless_message_keyword_combined_allow,22,[0],0.04145077720207254,0.03626943005181347,0.031088082901554404,6,2,0.75
bugless_message_keyword_combined_clean,23,[0],0.04145077720207254,0.04145077720207254,0.025906735751295335,7,1,0.875
bugless_message_keyword_combined_doc,24,[0],0.08290155440414508,0.07772020725388601,0.05699481865284974,12,4,0.75
bugless_message_keyword_combined_remov,25,[0],0.046632124352331605,0.04145077720207254,0.031088082901554404,6,3,0.6666666666666666
bugless_message_keyword_combined_test,26,[0],0.12435233160621761,0.11917098445595854,0.07772020725388601,16,8,0.6666666666666666
bugless_message_keyword_combined_ad,27,[0],0.16580310880829016,0.15544041450777202,0.11398963730569948,22,10,0.6875
bugless_message_keyword_combined_updat,28,[0],0.05181347150259067,0.04145077720207254,0.03626943005181347,5,5,0.5
