,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.002009333679025149,0.0018553927923256417,0.001255833549390718,234,14,0.9435483870967742
bug_message_keyword_broken,1,[1],0.0048288825512056,0.004602022297122116,0.0033948016593207155,517,79,0.8674496644295302
bug_message_keyword_bug,2,[1],0.03276510241120042,0.03078817733990148,0.019923191599688878,3873,171,0.9577151335311573
bug_message_keyword_close,3,[1],0.039692442312678246,0.0362004148301789,0.029086725434275342,4155,744,0.8481322718922228
bug_message_keyword_concurr,4,[1],0.0005023334197562872,0.0004294140523723101,0.00040510759657765103,36,26,0.5806451612903226
bug_message_keyword_correct,5,[1],0.016779556650246306,0.013149792584910553,0.010070974850920405,1742,329,0.8411395461129889
bug_message_keyword_corrupt,6,[1],0.0005671506352087115,0.0005266398755509464,0.0003645968369198859,65,5,0.9285714285714286
bug_message_keyword_crash,7,[1],0.005315011667098781,0.005071947109152191,0.003516333938294011,640,16,0.975609756097561
bug_message_keyword_deadlock,8,[1],0.0003159839253305678,0.0003159839253305678,0.00028357531760435573,31,8,0.7948717948717949
bug_message_keyword_defect,9,[1],0.0005428441794140524,0.00042131190044075706,0.00024306455794659062,64,3,0.9552238805970149
bug_message_keyword_disabl,10,[1],0.008993388644023853,0.00708128078817734,0.005679608504018667,752,358,0.6774774774774774
bug_message_keyword_endless,11,[1],0.00017014519056261342,0.0001539408866995074,0.00011343012704174228,15,6,0.7142857142857143
bug_message_keyword_ensur,12,[1],0.006554640912626393,0.005801140782991963,0.004845086855068706,652,157,0.8059332509270705
bug_message_keyword_error,13,[1],0.029418913663469017,0.027239434793881256,0.019193997925849107,3389,242,0.9333516937482786
bug_message_keyword_except,14,[1],0.0063682914182006745,0.0058740601503759395,0.004504796473943479,706,80,0.8982188295165394
bug_message_keyword_fail,15,[1],0.01634204044594244,0.015045696136893959,0.012720378532538242,1371,646,0.6797223599405057
bug_message_keyword_bugfix,16,[1],0.29026769509981853,0.2177696396162821,0.17017759917033964,31423,4403,0.8771004298554123
bug_message_keyword_garbag,17,[1],0.00017014519056261342,0.00017014519056261342,0.00012153227897329531,12,9,0.5714285714285714
bug_message_keyword_handl,18,[1],0.012712276380606688,0.011351114856105782,0.00869360902255639,1324,245,0.8438495857233907
bug_message_keyword_incomplet,19,[1],0.0005509463313456054,0.0004942312678247342,0.0004294140523723101,49,19,0.7205882352941176
bug_message_keyword_inconsist,20,[1],0.0005914570910033705,0.0005347420274824994,0.0004375162043038631,68,5,0.9315068493150684
bug_message_keyword_incorrect,21,[1],0.0032975758361420793,0.003127430645579466,0.002325317604355717,393,14,0.9656019656019657
bug_message_keyword_infinit,22,[1],0.0007372958257713249,0.0007129893699766658,0.00045372050816696913,78,13,0.8571428571428572
bug_message_keyword_invalid,23,[1],0.0037431941923774955,0.0035244360902255637,0.0026899144412756027,430,32,0.9307359307359307
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0015151024112004148,0.0014016722841586726,0.00077780658542909,184,3,0.9839572192513368
bug_message_keyword_loop,26,[1],0.0022523982369717396,0.0021227638060668914,0.001563715322789733,189,89,0.6798561151079137
bug_message_keyword_minor,27,[1],0.007397264713507908,0.005841651542649728,0.004383264194970184,535,378,0.5859802847754655
bug_message_keyword_mistak,28,[1],0.0010694840549649988,0.0009884625356494684,0.0007291936738397718,68,64,0.5151515151515151
bug_message_keyword_npe,29,[1],0.0025683821623023076,0.0024954627949183303,0.0018472906403940886,316,1,0.9968454258675079
bug_message_keyword_not|work,30,[1],0.0025197692507129893,0.002365828364013482,0.0016933497536945814,303,8,0.9742765273311897
bug_message_keyword_not|return,31,[1],0.00033218822919367383,0.0003159839253305678,0.0001944516463572725,41,0,1.0
bug_message_keyword_of|bound,32,[1],0.00021065595022037853,0.00021065595022037853,0.00012963443090484831,26,0,1.0
bug_message_keyword_patch,33,[1],0.013093077521389681,0.0115374643505315,0.009673969406274307,910,706,0.5631188118811881
bug_message_keyword_prevent,34,[1],0.006497925849105523,0.00595508166969147,0.004602022297122116,656,146,0.8179551122194514
bug_message_keyword_problem,35,[1],0.007648431423386052,0.007291936738397719,0.00528260305937257,867,77,0.9184322033898304
bug_message_keyword_properli,36,[1],0.004342753435312419,0.003929543686803215,0.0029896940627430644,504,32,0.9402985074626866
bug_message_keyword_race|condit,37,[1],0.0005833549390718175,0.0005752527871402645,0.0004294140523723101,70,2,0.9722222222222222
bug_message_keyword_repair,38,[1],0.00029977962146746177,0.00024306455794659062,0.0001944516463572725,35,2,0.9459459459459459
bug_message_keyword_resolv,39,[1],0.010395060928182525,0.009204044594244232,0.0073405496499870364,967,316,0.7537022603273578
bug_message_keyword_threw,40,[1],0.002422543427534353,0.002357726212081929,0.0018229841845994296,255,44,0.8528428093645485
bug_message_keyword_timeout,41,[1],0.002398236971739694,0.001968822919367384,0.0016204303863106041,205,91,0.6925675675675675
bug_message_keyword_unabl,42,[1],0.0007453979777028779,0.0006643764583873477,0.0005833549390718175,86,6,0.9347826086956521
bug_message_keyword_unclos,43,[1],4.05107596577651e-05,2.4306455794659062e-05,1.620430386310604e-05,5,0,1.0
bug_message_keyword_unexpect,44,[1],0.0006400700025926886,0.0006238656987295826,0.0004942312678247342,57,22,0.7215189873417721
bug_message_keyword_unknown,45,[1],0.001174812030075188,0.0011018926626912109,0.0008831345605392792,94,51,0.6482758620689655
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,47,[1],0.005452748249935183,0.004982823437905108,0.0032408607726212083,605,68,0.8989598811292719
bugless_issue_body_keyword_abil,48,[0],0.001644736842105263,0.0015475110189266269,0.0014016722841586726,117,86,0.5763546798029556
bugless_issue_body_keyword_ad,49,[0],0.02283186414311641,0.02263741249675914,0.020271584132745657,1392,1426,0.49396735273243436
bugless_issue_body_keyword_add,50,[0],0.03353480684469795,0.033202618615504276,0.029548548094373867,2058,2081,0.49722155109929933
bugless_issue_body_keyword_addit,51,[0],0.009090614467202489,0.009074410163339383,0.00861258750324086,528,594,0.47058823529411764
bugless_issue_body_keyword_allow,52,[0],0.010662431941923775,0.010557103966813586,0.009131125226860255,684,632,0.5197568389057751
bugless_issue_body_keyword_analysi,53,[0],0.0013206507648431424,0.0013206507648431424,0.0012477313974591652,63,100,0.38650306748466257
bugless_issue_body_keyword_avoid,54,[0],0.004893699766658024,0.0048288825512056,0.0044075706507648435,290,314,0.48013245033112584
bugless_issue_body_keyword_baselin,55,[0],0.00017014519056261342,0.00017014519056261342,0.00014583873476795437,10,11,0.47619047619047616
bugless_issue_body_keyword_beautification,56,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_benchmark,57,[0],0.0005428441794140524,0.0005428441794140524,0.0005266398755509464,29,38,0.4328358208955224
bugless_issue_body_keyword_better,58,[0],0.003637866217267306,0.003573049001814882,0.0033137801400051855,212,237,0.47216035634743875
bugless_issue_body_keyword_bump,59,[0],0.002009333679025149,0.002009333679025149,0.0018391884884625357,225,23,0.907258064516129
bugless_issue_body_keyword_chang|log,60,[0],0.0001539408866995074,0.0001539408866995074,0.00012963443090484831,12,7,0.631578947368421
bugless_issue_body_keyword_clean,61,[0],0.004683043816437646,0.004650635208711434,0.004456183562354161,265,313,0.45847750865051906
bugless_issue_body_keyword_comment,62,[0],0.009868421052631578,0.009836012444905368,0.009366087632875292,604,614,0.49589490968801314
bugless_issue_body_keyword_complet,63,[0],0.008085947627689915,0.008053539019963703,0.007526899144412756,416,582,0.4168336673346693
bugless_issue_body_keyword_configur|chang,64,[0],4.05107596577651e-05,4.05107596577651e-05,4.05107596577651e-05,2,3,0.4
bugless_issue_body_keyword_consolid,65,[0],0.00023496240601503758,0.00021065595022037853,0.00017824734249416644,22,7,0.7586206896551724
bugless_issue_body_keyword_convert,66,[0],0.0033704952035260565,0.0033623930515945034,0.0031841457091003372,162,254,0.3894230769230769
bugless_issue_body_keyword_coverag,67,[0],0.0018391884884625357,0.0018391884884625357,0.0017581669691470055,120,107,0.5286343612334802
