,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.3995937318630296,0.3932095182820662,0.2707486941381312,1238,139,0.8990559186637618
fine_grained_changes_transformer_80,1,"[0, 1]",0.1273940800928613,0.12594312246082415,0.08270458502611723,349,90,0.7949886104783599
fine_grained_changes_transformer_70,2,"[0, 1]",0.09663377829367382,0.09489262913522925,0.06848520023215322,265,68,0.7957957957957957
all_files_test_add,3,[0],0.004933255948926291,0.004933255948926291,0.0020313406848520023,17,0,1.0
all_files_test_fix,4,[0],0.006094022054556007,0.006094022054556007,0.003192106790481718,18,3,0.8571428571428572
buggless_if_many_lines_changed,5,[0],0.059489262913522925,0.059489262913522925,0.04991294254207777,141,64,0.6878048780487804
bugless_if_at_least_2_removed_files,6,[0],0.01625072547881602,0.01567034242600116,0.011317469529889728,41,15,0.7321428571428572
bugless_if_at_least_5_added_files,7,[0],0.01828206616366802,0.01828206616366802,0.011027278003482298,52,11,0.8253968253968254
bugless_if_many_files_changes,8,[0],0.03192106790481718,0.03163087637840975,0.02176436448055717,86,24,0.7818181818181817
bugless_if_not_code_files,9,[0],0.1784677887405688,0.17643644805571676,0.1355194428322693,547,68,0.8894308943089431
no_files_have_modified_status,10,[0],0.013639001741149159,0.013639001741149159,0.00522344747533372,36,11,0.7659574468085106
refactoring_if_at_least_2_renamed,11,[0],0.008705745792222866,0.008705745792222866,0.005513639001741149,24,6,0.8
bug_message_keyword_bad,12,[1],0.0017411491584445734,0.0017411491584445734,0.0008705745792222867,3,3,0.5
bug_message_keyword_broken,13,[1],0.009576320371445153,0.009576320371445153,0.008705745792222866,17,16,0.5151515151515151
bug_message_keyword_bug,14,[1],0.0240858966918166,0.0240858966918166,0.017991874637260593,58,25,0.6987951807228916
bug_message_keyword_close,15,[1],0.5220545560069646,0.5211839814277424,0.4544399303540337,863,936,0.47971095052807117
bug_message_keyword_concurr,16,[1],0.0002901915264074289,0.0002901915264074289,0.0002901915264074289,0,1,0.0
bug_message_keyword_correct,17,[1],0.07515960533952408,0.07486941381311665,0.0612304120719675,182,77,0.7027027027027027
bug_message_keyword_corrupt,18,[1],0.0017411491584445734,0.0017411491584445734,0.0017411491584445734,5,1,0.8333333333333333
bug_message_keyword_crash,19,[1],0.009576320371445153,0.009576320371445153,0.008995937318630296,25,8,0.7575757575757576
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.01828206616366802,0.017701683110853163,0.014799767846778875,27,36,0.4285714285714286
bug_message_keyword_endless,23,[1],0.0002901915264074289,0.0002901915264074289,0.0,1,0,1.0
bug_message_keyword_ensur,24,[1],0.05078351712130006,0.05078351712130006,0.041497388276262336,125,50,0.7142857142857143
bug_message_keyword_error,25,[1],0.06384213580963435,0.06384213580963435,0.05310504933255949,160,60,0.7272727272727273
bug_message_keyword_except,26,[1],0.005513639001741149,0.005513639001741149,0.004062681369704005,15,4,0.7894736842105263
bug_message_keyword_fail,27,[1],0.0371445153801509,0.0371445153801509,0.03453279164248404,85,43,0.6640625
bug_message_keyword_bugfix,28,[1],0.6120139291932676,0.585896691816599,0.4460243760882182,1566,543,0.7425320056899004
bug_message_keyword_garbag,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,30,[1],0.0481717933836332,0.0481717933836332,0.03859547301218805,138,28,0.8313253012048193
bug_message_keyword_incomplet,31,[1],0.0014509576320371445,0.0014509576320371445,0.0014509576320371445,4,1,0.8
bug_message_keyword_inconsist,32,[1],0.004352872896111433,0.004352872896111433,0.0037724898432965758,7,8,0.4666666666666667
bug_message_keyword_incorrect,33,[1],0.011317469529889728,0.011317469529889728,0.009576320371445153,28,11,0.717948717948718
bug_message_keyword_infinit,34,[1],0.0011607661056297156,0.0011607661056297156,0.0008705745792222867,4,0,1.0
bug_message_keyword_invalid,35,[1],0.011317469529889728,0.011317469529889728,0.01044689495066744,29,10,0.7435897435897436
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.0020313406848520023,0.0020313406848520023,0.0014509576320371445,6,1,0.8571428571428572
bug_message_keyword_loop,38,[1],0.003192106790481718,0.003192106790481718,0.002901915264074289,4,7,0.36363636363636365
bug_message_keyword_minor,39,[1],0.01044689495066744,0.01044689495066744,0.009576320371445153,12,24,0.33333333333333337
bug_message_keyword_mistak,40,[1],0.00261172373766686,0.00261172373766686,0.0023215322112594312,1,8,0.1111111111111111
bug_message_keyword_npe,41,[1],0.0017411491584445734,0.0017411491584445734,0.0005803830528148578,3,3,0.5
bug_message_keyword_not|work,42,[1],0.005803830528148578,0.005803830528148578,0.004062681369704005,15,5,0.75
bug_message_keyword_not|return,43,[1],0.0008705745792222867,0.0008705745792222867,0.0005803830528148578,2,1,0.6666666666666666
