,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.3068181818181818,0.2840909090909091,0.14488636363636365,74,34,0.6851851851851851
fine_grained_changes_transformer_80,1,"[0, 1]",0.13068181818181818,0.12215909090909091,0.06534090909090909,28,18,0.6086956521739131
fine_grained_changes_transformer_70,2,"[0, 1]",0.13352272727272727,0.125,0.08522727272727272,29,18,0.6170212765957447
all_files_test_add,3,[0],0.014204545454545454,0.014204545454545454,0.002840909090909091,5,0,1.0
all_files_test_fix,4,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
buggless_if_many_lines_changed,5,[0],0.12215909090909091,0.11647727272727272,0.05113636363636364,35,8,0.813953488372093
bugless_if_at_least_2_removed_files,6,[0],0.017045454545454544,0.017045454545454544,0.002840909090909091,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,7,[0],0.02556818181818182,0.02556818181818182,0.014204545454545454,8,1,0.8888888888888888
bugless_if_many_files_changes,8,[0],0.045454545454545456,0.045454545454545456,0.019886363636363636,15,1,0.9375
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.022727272727272728,0.022727272727272728,0.002840909090909091,8,0,1.0
refactoring_if_at_least_2_renamed,11,[0],0.008522727272727272,0.008522727272727272,0.002840909090909091,3,0,1.0
bug_message_keyword_combined_bad,12,[1],0.07670454545454546,0.07670454545454546,0.03977272727272727,22,5,0.8148148148148149
bug_message_keyword_combined_broken,13,[1],0.048295454545454544,0.04261363636363636,0.03125,11,6,0.6470588235294118
bug_message_keyword_combined_disabl,14,[1],0.056818181818181816,0.05397727272727273,0.04261363636363636,10,10,0.5
bug_message_keyword_combined_correct,15,[1],0.08238636363636363,0.08238636363636363,0.06534090909090909,16,13,0.5517241379310345
bug_message_keyword_combined_bug,16,[1],0.11931818181818182,0.11647727272727272,0.07102272727272728,29,13,0.6904761904761905
bug_message_keyword_combined_close,17,[1],0.045454545454545456,0.045454545454545456,0.03977272727272727,8,8,0.5
bug_message_keyword_combined_bugfix,18,[1],0.39204545454545453,0.36079545454545453,0.23579545454545456,109,29,0.7898550724637681
bugless_message_keyword_combined_abil,19,[0],0.11363636363636363,0.11363636363636363,0.07954545454545454,31,9,0.775
bugless_message_keyword_combined_addit,20,[0],0.13352272727272727,0.1278409090909091,0.07954545454545454,32,15,0.6808510638297872
bugless_message_keyword_combined_bump,21,[0],0.1278409090909091,0.125,0.06818181818181818,35,10,0.7777777777777778
bugless_message_keyword_combined_allow,22,[0],0.07102272727272728,0.06534090909090909,0.04261363636363636,21,4,0.8400000000000001
bugless_message_keyword_combined_clean,23,[0],0.12215909090909091,0.11931818181818182,0.06818181818181818,38,5,0.8837209302325582
bugless_message_keyword_combined_doc,24,[0],0.09659090909090909,0.08806818181818182,0.05397727272727273,27,7,0.7941176470588236
bugless_message_keyword_combined_remov,25,[0],0.05113636363636364,0.045454545454545456,0.02556818181818182,13,5,0.7222222222222222
bugless_message_keyword_combined_test,26,[0],0.125,0.12215909090909091,0.07386363636363637,31,13,0.7045454545454546
bugless_message_keyword_combined_ad,27,[0],0.2215909090909091,0.20738636363636365,0.11363636363636363,62,16,0.7948717948717949
bugless_message_keyword_combined_updat,28,[0],0.05965909090909091,0.05113636363636364,0.03125,14,7,0.6666666666666666
