,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.14273281114012185,0.12706701479547433,0.058311575282854654,120,44,0.7317073170731707
fine_grained_changes_transformer_80,1,"[0, 1]",0.2906875543951262,0.2463011314186249,0.11401218450826806,191,143,0.5718562874251497
fine_grained_changes_transformer_70,2,"[0, 1]",0.08703220191470844,0.07745865970409051,0.038294168842471714,66,34,0.66
all_files_test_add,3,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
all_files_test_fix,4,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.10530896431679722,0.10269799825935597,0.033942558746736295,92,29,0.7603305785123967
bugless_if_at_least_2_removed_files,6,[0],0.010443864229765013,0.010443864229765013,0.0026109660574412533,9,3,0.75
bugless_if_at_least_5_added_files,7,[0],0.02959094865100087,0.028720626631853787,0.009573542210617928,26,8,0.7647058823529411
bugless_if_many_files_changes,8,[0],0.05918189730200174,0.058311575282854654,0.018276762402088774,55,13,0.8088235294117647
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,11,[0],0.01392515230635335,0.01392515230635335,0.0017406440382941688,16,0,1.0
bug_message_keyword_combined_bad,12,[1],0.08006962576153177,0.07484769364664925,0.05134899912967798,74,18,0.8043478260869565
bug_message_keyword_combined_broken,13,[1],0.06962576153176675,0.06353350739773717,0.04699738903394256,48,32,0.6
bug_message_keyword_combined_disabl,14,[1],0.04003481288076589,0.038294168842471714,0.0278503046127067,29,17,0.6304347826086957
bug_message_keyword_combined_correct,15,[1],0.07397737162750218,0.06875543951261967,0.057441253263707574,61,24,0.7176470588235294
bug_message_keyword_combined_bug,16,[1],0.053959965187119235,0.05134899912967798,0.034812880765883375,51,11,0.8225806451612903
bug_message_keyword_combined_close,17,[1],0.040905134899912966,0.0391644908616188,0.03307223672758921,21,26,0.44680851063829785
bug_message_keyword_combined_bugfix,18,[1],0.2689295039164491,0.23063533507397738,0.16536118363794605,278,31,0.8996763754045307
bugless_message_keyword_combined_abil,19,[0],0.11314186248912098,0.09921671018276762,0.044386422976501305,90,40,0.6923076923076923
bugless_message_keyword_combined_addit,20,[0],0.11923411662315056,0.1114012184508268,0.05221932114882506,96,41,0.7007299270072993
bugless_message_keyword_combined_bump,21,[0],0.06353350739773717,0.057441253263707574,0.026979982593559618,58,15,0.7945205479452055
bugless_message_keyword_combined_allow,22,[0],0.12619669277632725,0.11053089643167972,0.040905134899912966,131,14,0.903448275862069
bugless_message_keyword_combined_clean,23,[0],0.12097476066144473,0.10356832027850305,0.028720626631853787,125,14,0.8992805755395683
bugless_message_keyword_combined_doc,24,[0],0.08442123585726719,0.07919930374238468,0.034812880765883375,80,17,0.8247422680412371
bugless_message_keyword_combined_remov,25,[0],0.06353350739773717,0.05308964316797215,0.02610966057441253,61,12,0.8356164383561644
bugless_message_keyword_combined_test,26,[0],0.1496953872932985,0.144473455178416,0.08964316797214969,101,71,0.5872093023255814
bugless_message_keyword_combined_ad,27,[0],0.16100957354221063,0.14882506527415143,0.050478677110530897,154,31,0.8324324324324324
bugless_message_keyword_combined_updat,28,[0],0.0278503046127067,0.02610966057441253,0.015665796344647518,22,10,0.6875
